Title,Media URL,Pinterest board,Thumbnail,Description,Link,Publish date,Keywords
"Проект дома №46-09GL: фасады, планы и характеристики",https://raw.githubusercontent.com/nemchenik/test/catalog-plans-pinterest-cards/pinterest/generated_batch_27/46-09GL.jpg,Дома из газобетона,,"Проект дома №46-09GL. На превью показана каноническая визуализация, взятая непосредственно со страницы этого проекта на catalog-plans.ru. В карточке доступны планы этажей, фасады, размеры и характеристики. Параметры: 150,83 м²; 1 этаж; габариты 14.57×18.52 м; стены — газобетон; стиль — стиль Райта. Откройте проект, проверьте планировку и сопоставьте габариты со своим участком до заказа.",https://catalog-plans.ru/catalog/46-09GL?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_house_cards_verified_batch_27&utm_content=pin_4967_46-09gl_compare&utm_term=doma-iz-gazobetona,,"проект дома 46-09GL, проект №46-09GL, Дома из газобетона, готовый проект дома, планировка дома, фасады дома, дом с размерами, визуализация дома, дом 150,83 м², дом газобетон, дом стиль Райта, catalog-plans.ru"
Проект дома №46-09WGL: проверить габариты для участка,https://raw.githubusercontent.com/nemchenik/test/catalog-plans-pinterest-cards/pinterest/generated_batch_27/46-09WGL.jpg,Дома до 150 м²,,"Проект дома №46-09WGL. На превью показана каноническая визуализация, взятая непосредственно со страницы этого проекта на catalog-plans.ru. В карточке доступны планы этажей, фасады, размеры и характеристики. Параметры: 125,16 м²; 1 этаж; габариты 13.88×16.3 м; стены — газобетон; стиль — стиль Райта. Откройте проект, проверьте планировку и сопоставьте габариты со своим участком до заказа.",https://catalog-plans.ru/catalog/46-09WGL?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_house_cards_verified_batch_27&utm_content=pin_4968_46-09wgl_site&utm_term=doma-do-150-m,,"проект дома 46-09WGL, проект №46-09WGL, Дома до 150 м², готовый проект дома, планировка дома, фасады дома, дом с размерами, визуализация дома, дом 125,16 м², дом газобетон, дом стиль Райта, catalog-plans.ru"
Проект дома №46-22AGL: посмотреть все ракурсы и этажи,https://raw.githubusercontent.com/nemchenik/test/catalog-plans-pinterest-cards/pinterest/generated_batch_27/46-22AGL.jpg,Готовые проекты домов,,"Проект дома №46-22AGL. На превью показана каноническая визуализация, взятая непосредственно со страницы этого проекта на catalog-plans.ru. В карточке доступны планы этажей, фасады, размеры и характеристики. Параметры: 121,7 м²; 1 этаж; габариты 11.52×14.02 м; стены — газобетон; стиль — современный. Откройте проект, проверьте планировку и сопоставьте габариты со своим участком до заказа.",https://catalog-plans.ru/catalog/46-22AGL?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_house_cards_verified_batch_27&utm_content=pin_4969_46-22agl_facades&utm_term=gotovye-proekty-domov,,"проект дома 46-22AGL, проект №46-22AGL, Готовые проекты домов, готовый проект дома, планировка дома, фасады дома, дом с размерами, визуализация дома, дом 121,7 м², дом газобетон, дом современный, catalog-plans.ru"
Проект дома №46-23BAK1L: сравнить перед выбором,https://raw.githubusercontent.com/nemchenik/test/catalog-plans-pinterest-cards/pinterest/generated_batch_27/46-23BAK1L.jpg,Готовые проекты домов,,"Проект дома №46-23BAK1L. На превью показана каноническая визуализация, взятая непосредственно со страницы этого проекта на catalog-plans.ru. В карточке доступны планы этажей, фасады, размеры и характеристики. Параметры: 327,55 м²; 2 этажа; габариты 16.82×21.7 м; стены — кирпич; стиль — современный. Откройте проект, проверьте планировку и сопоставьте габариты со своим участком до заказа.",https://catalog-plans.ru/catalog/46-23BAK1L?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_house_cards_verified_batch_27&utm_content=pin_4970_46-23bak1l_estimate&utm_term=gotovye-proekty-domov,,"проект дома 46-23BAK1L, проект №46-23BAK1L, Готовые проекты домов, готовый проект дома, планировка дома, фасады дома, дом с размерами, визуализация дома, дом 327,55 м², дом кирпич, дом современный, catalog-plans.ru"
Проект дома №46-34: перейти к расчёту строительства,https://raw.githubusercontent.com/nemchenik/test/catalog-plans-pinterest-cards/pinterest/generated_batch_27/46-34.jpg,Фасады домов,,"Проект дома №46-34. На превью показана каноническая визуализация, взятая непосредственно со страницы этого проекта на catalog-plans.ru. В карточке доступны планы этажей, фасады, размеры и характеристики. Параметры: 117,55 м²; 2 этажа; габариты 9.57×10.31 м; стены — кирпич; стиль — современный. Откройте проект, проверьте планировку и сопоставьте габариты со своим участком до заказа.",https://catalog-plans.ru/catalog/46-34?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_house_cards_verified_batch_27&utm_content=pin_4971_46-34_changes&utm_term=fasady-domov,,"проект дома 46-34, проект №46-34, Фасады домов, готовый проект дома, планировка дома, фасады дома, дом с размерами, визуализация дома, дом 117,55 м², дом кирпич, дом современный, catalog-plans.ru"
Проект дома №46-37GL: открыть планировку и размеры,https://raw.githubusercontent.com/nemchenik/test/catalog-plans-pinterest-cards/pinterest/generated_batch_27/46-37GL.jpg,Фасады домов,,"Проект дома №46-37GL. На превью показана каноническая визуализация, взятая непосредственно со страницы этого проекта на catalog-plans.ru. В карточке доступны планы этажей, фасады, размеры и характеристики. Параметры: 227,06 м²; 2 этажа; габариты 12.78×15.06 м; стены — газобетон; стиль — стиль Райта. Откройте проект, проверьте планировку и сопоставьте габариты со своим участком до заказа.",https://catalog-plans.ru/catalog/46-37GL?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_house_cards_verified_batch_27&utm_content=pin_4972_46-37gl_plans&utm_term=fasady-domov,,"проект дома 46-37GL, проект №46-37GL, Фасады домов, готовый проект дома, планировка дома, фасады дома, дом с размерами, визуализация дома, дом 227,06 м², дом газобетон, дом стиль Райта, catalog-plans.ru"
"Проект дома №46-92L: фасады, планы и характеристики",https://raw.githubusercontent.com/nemchenik/test/catalog-plans-pinterest-cards/pinterest/generated_batch_27/46-92L.jpg,Проекты домов с визуализациями,,"Проект дома №46-92L. На превью показана каноническая визуализация, взятая непосредственно со страницы этого проекта на catalog-plans.ru. В карточке доступны планы этажей, фасады, размеры и характеристики. Параметры: 140 м²; 1 этаж; габариты 15×15.18 м; стены — кирпич; стиль — хай-тек. Откройте проект, проверьте планировку и сопоставьте габариты со своим участком до заказа.",https://catalog-plans.ru/catalog/46-92L?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_house_cards_verified_batch_27&utm_content=pin_4973_46-92l_compare&utm_term=proekty-domov-s-vizualizaciyami,,"проект дома 46-92L, проект №46-92L, Проекты домов с визуализациями, готовый проект дома, планировка дома, фасады дома, дом с размерами, визуализация дома, дом 140 м², дом кирпич, дом хай-тек, catalog-plans.ru"
Проект дома №46-96: проверить габариты для участка,https://raw.githubusercontent.com/nemchenik/test/catalog-plans-pinterest-cards/pinterest/generated_batch_27/46-96.jpg,Двухэтажные дома,,"Проект дома №46-96. На превью показана каноническая визуализация, взятая непосредственно со страницы этого проекта на catalog-plans.ru. В карточке доступны планы этажей, фасады, размеры и характеристики. Параметры: 190 м²; 2 этажа; габариты 11.37×14.62 м; стены — кирпич; стиль — хай-тек. Откройте проект, проверьте планировку и сопоставьте габариты со своим участком до заказа.",https://catalog-plans.ru/catalog/46-96?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_house_cards_verified_batch_27&utm_content=pin_4974_46-96_site&utm_term=dvuhetazhnye-doma,,"проект дома 46-96, проект №46-96, Двухэтажные дома, готовый проект дома, планировка дома, фасады дома, дом с размерами, визуализация дома, дом 190 м², дом кирпич, дом хай-тек, catalog-plans.ru"
Проект дома №46-96DG: посмотреть все ракурсы и этажи,https://raw.githubusercontent.com/nemchenik/test/catalog-plans-pinterest-cards/pinterest/generated_batch_27/46-96DG.jpg,Фасады домов,,"Проект дома №46-96DG. На превью показана каноническая визуализация, взятая непосредственно со страницы этого проекта на catalog-plans.ru. В карточке доступны планы этажей, фасады, размеры и характеристики. Параметры: 202,83 м²; 2 этажа; габариты 11.27×14.72 м; стены — газобетон; стиль — хай-тек. Откройте проект, проверьте планировку и сопоставьте габариты со своим участком до заказа.",https://catalog-plans.ru/catalog/46-96DG?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_house_cards_verified_batch_27&utm_content=pin_4975_46-96dg_facades&utm_term=fasady-domov,,"проект дома 46-96DG, проект №46-96DG, Фасады домов, готовый проект дома, планировка дома, фасады дома, дом с размерами, визуализация дома, дом 202,83 м², дом газобетон, дом хай-тек, catalog-plans.ru"
Проект дома №48-20: сравнить перед выбором,https://raw.githubusercontent.com/nemchenik/test/catalog-plans-pinterest-cards/pinterest/generated_batch_27/48-20.jpg,Готовые проекты домов,,"Проект дома №48-20. На превью показана каноническая визуализация, взятая непосредственно со страницы этого проекта на catalog-plans.ru. В карточке доступны планы этажей, фасады, размеры и характеристики. Параметры: 93,2 м²; 2 этажа; габариты 8.9×8.9 м; стены — кирпич; стиль — современный. Откройте проект, проверьте планировку и сопоставьте габариты со своим участком до заказа.",https://catalog-plans.ru/catalog/48-20?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_house_cards_verified_batch_27&utm_content=pin_4976_48-20_estimate&utm_term=gotovye-proekty-domov,,"проект дома 48-20, проект №48-20, Готовые проекты домов, готовый проект дома, планировка дома, фасады дома, дом с размерами, визуализация дома, дом 93,2 м², дом кирпич, дом современный, catalog-plans.ru"
Проект дома №48-24: перейти к расчёту строительства,https://raw.githubusercontent.com/nemchenik/test/catalog-plans-pinterest-cards/pinterest/generated_batch_27/48-24.jpg,Проекты домов с визуализациями,,"Проект дома №48-24. На превью показана каноническая визуализация, взятая непосредственно со страницы этого проекта на catalog-plans.ru. В карточке доступны планы этажей, фасады, размеры и характеристики. Параметры: 262,99 м²; 2 этажа; габариты 15.71×16.62 м; стены — кирпич; стиль — современный. Откройте проект, проверьте планировку и сопоставьте габариты со своим участком до заказа.",https://catalog-plans.ru/catalog/48-24?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_house_cards_verified_batch_27&utm_content=pin_4977_48-24_changes&utm_term=proekty-domov-s-vizualizaciyami,,"проект дома 48-24, проект №48-24, Проекты домов с визуализациями, готовый проект дома, планировка дома, фасады дома, дом с размерами, визуализация дома, дом 262,99 м², дом кирпич, дом современный, catalog-plans.ru"
Проект дома №48-48: открыть планировку и размеры,https://raw.githubusercontent.com/nemchenik/test/catalog-plans-pinterest-cards/pinterest/generated_batch_27/48-48.jpg,Дома в стиле хай-тек,,"Проект дома №48-48. На превью показана каноническая визуализация, взятая непосредственно со страницы этого проекта на catalog-plans.ru. В карточке доступны планы этажей, фасады, размеры и характеристики. Параметры: 397,37 м²; 3 этажа; габариты 15.84×19.71 м; стены — монолитный каркас; стиль — хай-тек. Откройте проект, проверьте планировку и сопоставьте габариты со своим участком до заказа.",https://catalog-plans.ru/catalog/48-48?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_house_cards_verified_batch_27&utm_content=pin_4978_48-48_plans&utm_term=doma-v-stile-hay-tek,,"проект дома 48-48, проект №48-48, Дома в стиле хай-тек, готовый проект дома, планировка дома, фасады дома, дом с размерами, визуализация дома, дом 397,37 м², дом монолитный каркас, дом хай-тек, catalog-plans.ru"
"Проект дома №48-71L: фасады, планы и характеристики",https://raw.githubusercontent.com/nemchenik/test/catalog-plans-pinterest-cards/pinterest/generated_batch_27/48-71L.jpg,Проекты домов с визуализациями,,"Проект дома №48-71L. На превью показана каноническая визуализация, взятая непосредственно со страницы этого проекта на catalog-plans.ru. В карточке доступны планы этажей, фасады, размеры и характеристики. Параметры: 180,54 м²; 2 этажа; габариты 7.02×18.32 м; стены — кирпич; стиль — хай-тек. Откройте проект, проверьте планировку и сопоставьте габариты со своим участком до заказа.",https://catalog-plans.ru/catalog/48-71L?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_house_cards_verified_batch_27&utm_content=pin_4979_48-71l_compare&utm_term=proekty-domov-s-vizualizaciyami,,"проект дома 48-71L, проект №48-71L, Проекты домов с визуализациями, готовый проект дома, планировка дома, фасады дома, дом с размерами, визуализация дома, дом 180,54 м², дом кирпич, дом хай-тек, catalog-plans.ru"
Проект дома №48-72L: проверить габариты для участка,https://raw.githubusercontent.com/nemchenik/test/catalog-plans-pinterest-cards/pinterest/generated_batch_27/48-72L.jpg,Проекты домов с визуализациями,,"Проект дома №48-72L. На превью показана каноническая визуализация, взятая непосредственно со страницы этого проекта на catalog-plans.ru. В карточке доступны планы этажей, фасады, размеры и характеристики. Параметры: 159,33 м²; 2 этажа; габариты 13.225×18.32 м; стены — кирпич; стиль — современный. Откройте проект, проверьте планировку и сопоставьте габариты со своим участком до заказа.",https://catalog-plans.ru/catalog/48-72L?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_house_cards_verified_batch_27&utm_content=pin_4980_48-72l_site&utm_term=proekty-domov-s-vizualizaciyami,,"проект дома 48-72L, проект №48-72L, Проекты домов с визуализациями, готовый проект дома, планировка дома, фасады дома, дом с размерами, визуализация дома, дом 159,33 м², дом кирпич, дом современный, catalog-plans.ru"
Проект дома №48-73A: посмотреть все ракурсы и этажи,https://raw.githubusercontent.com/nemchenik/test/catalog-plans-pinterest-cards/pinterest/generated_batch_27/48-73A.jpg,Проекты домов с визуализациями,,"Проект дома №48-73A. На превью показана каноническая визуализация, взятая непосредственно со страницы этого проекта на catalog-plans.ru. В карточке доступны планы этажей, фасады, размеры и характеристики. Параметры: 119,54 м²; 1 этаж; габариты 9.1×21.93 м; стены — кирпич; стиль — скандинавский. Откройте проект, проверьте планировку и сопоставьте габариты со своим участком до заказа.",https://catalog-plans.ru/catalog/48-73A?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_house_cards_verified_batch_27&utm_content=pin_4981_48-73a_facades&utm_term=proekty-domov-s-vizualizaciyami,,"проект дома 48-73A, проект №48-73A, Проекты домов с визуализациями, готовый проект дома, планировка дома, фасады дома, дом с размерами, визуализация дома, дом 119,54 м², дом кирпич, дом скандинавский, catalog-plans.ru"
Проект дома №48-75MK2: сравнить перед выбором,https://raw.githubusercontent.com/nemchenik/test/catalog-plans-pinterest-cards/pinterest/generated_batch_27/48-75MK2.jpg,Дома в стиле хай-тек,,"Проект дома №48-75MK2. На превью показана каноническая визуализация, взятая непосредственно со страницы этого проекта на catalog-plans.ru. В карточке доступны планы этажей, фасады, размеры и характеристики. Параметры: 491,05 м²; 2 этажа; габариты 20.78×29.83 м; стены — монолитный каркас; стиль — хай-тек. Откройте проект, проверьте планировку и сопоставьте габариты со своим участком до заказа.",https://catalog-plans.ru/catalog/48-75MK2?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_house_cards_verified_batch_27&utm_content=pin_4982_48-75mk2_estimate&utm_term=doma-v-stile-hay-tek,,"проект дома 48-75MK2, проект №48-75MK2, Дома в стиле хай-тек, готовый проект дома, планировка дома, фасады дома, дом с размерами, визуализация дома, дом 491,05 м², дом монолитный каркас, дом хай-тек, catalog-plans.ru"
Проект дома №48-76L: перейти к расчёту строительства,https://raw.githubusercontent.com/nemchenik/test/catalog-plans-pinterest-cards/pinterest/generated_batch_27/48-76L.jpg,Кирпичные дома,,"Проект дома №48-76L. На превью показана каноническая визуализация, взятая непосредственно со страницы этого проекта на catalog-plans.ru. В карточке доступны планы этажей, фасады, размеры и характеристики. Параметры: 104,11 м²; 2 этажа; габариты 7.94×10.51 м; стены — кирпич; стиль — европейский. Откройте проект, проверьте планировку и сопоставьте габариты со своим участком до заказа.",https://catalog-plans.ru/catalog/48-76L?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_house_cards_verified_batch_27&utm_content=pin_4983_48-76l_changes&utm_term=kirpichnye-doma,,"проект дома 48-76L, проект №48-76L, Кирпичные дома, готовый проект дома, планировка дома, фасады дома, дом с размерами, визуализация дома, дом 104,11 м², дом кирпич, дом европейский, catalog-plans.ru"
Проект дома №57-05BL: открыть планировку и размеры,https://raw.githubusercontent.com/nemchenik/test/catalog-plans-pinterest-cards/pinterest/generated_batch_27/57-05BL.jpg,Фасады домов,,"Проект дома №57-05BL. На превью показана каноническая визуализация, взятая непосредственно со страницы этого проекта на catalog-plans.ru. В карточке доступны планы этажей, фасады, размеры и характеристики. Параметры: 149,87 м²; 2 этажа; габариты 10×10.7 м; стены — газобетон; стиль — европейский. Откройте проект, проверьте планировку и сопоставьте габариты со своим участком до заказа.",https://catalog-plans.ru/catalog/57-05BL?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_house_cards_verified_batch_27&utm_content=pin_4984_57-05bl_plans&utm_term=fasady-domov,,"проект дома 57-05BL, проект №57-05BL, Фасады домов, готовый проект дома, планировка дома, фасады дома, дом с размерами, визуализация дома, дом 149,87 м², дом газобетон, дом европейский, catalog-plans.ru"
"Проект дома №57-07: фасады, планы и характеристики",https://raw.githubusercontent.com/nemchenik/test/catalog-plans-pinterest-cards/pinterest/generated_batch_27/57-07.jpg,Дома до 120 м²,,"Проект дома №57-07. На превью показана каноническая визуализация, взятая непосредственно со страницы этого проекта на catalog-plans.ru. В карточке доступны планы этажей, фасады, размеры и характеристики. Параметры: 115,97 м²; 2 этажа; габариты 8.45×10.85 м; стены — газобетон; стиль — современный. Откройте проект, проверьте планировку и сопоставьте габариты со своим участком до заказа.",https://catalog-plans.ru/catalog/57-07?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_house_cards_verified_batch_27&utm_content=pin_4985_57-07_compare&utm_term=doma-do-120-m,,"проект дома 57-07, проект №57-07, Дома до 120 м², готовый проект дома, планировка дома, фасады дома, дом с размерами, визуализация дома, дом 115,97 м², дом газобетон, дом современный, catalog-plans.ru"
Проект дома №57-17D: проверить габариты для участка,https://raw.githubusercontent.com/nemchenik/test/catalog-plans-pinterest-cards/pinterest/generated_batch_27/57-17D.jpg,Готовые проекты домов,,"Проект дома №57-17D. На превью показана каноническая визуализация, взятая непосредственно со страницы этого проекта на catalog-plans.ru. В карточке доступны планы этажей, фасады, размеры и характеристики. Параметры: 111,88 м²; 2 этажа; габариты 8.9×8.9 м; стены — газобетон; стиль — скандинавский. Откройте проект, проверьте планировку и сопоставьте габариты со своим участком до заказа.",https://catalog-plans.ru/catalog/57-17D?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_house_cards_verified_batch_27&utm_content=pin_4986_57-17d_site&utm_term=gotovye-proekty-domov,,"проект дома 57-17D, проект №57-17D, Готовые проекты домов, готовый проект дома, планировка дома, фасады дома, дом с размерами, визуализация дома, дом 111,88 м², дом газобетон, дом скандинавский, catalog-plans.ru"
Проект дома №57-63FL: посмотреть все ракурсы и этажи,https://raw.githubusercontent.com/nemchenik/test/catalog-plans-pinterest-cards/pinterest/generated_batch_27/57-63FL.jpg,Двухэтажные дома,,"Проект дома №57-63FL. На превью показана каноническая визуализация, взятая непосредственно со страницы этого проекта на catalog-plans.ru. В карточке доступны планы этажей, фасады, размеры и характеристики. Параметры: 135,55 м²; 2 этажа; габариты 10×12.6 м; стены — газобетон; стиль — европейский. Откройте проект, проверьте планировку и сопоставьте габариты со своим участком до заказа.",https://catalog-plans.ru/catalog/57-63FL?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_house_cards_verified_batch_27&utm_content=pin_4987_57-63fl_facades&utm_term=dvuhetazhnye-doma,,"проект дома 57-63FL, проект №57-63FL, Двухэтажные дома, готовый проект дома, планировка дома, фасады дома, дом с размерами, визуализация дома, дом 135,55 м², дом газобетон, дом европейский, catalog-plans.ru"
Проект дома №58-09: сравнить перед выбором,https://raw.githubusercontent.com/nemchenik/test/catalog-plans-pinterest-cards/pinterest/generated_batch_27/58-09.jpg,Скандинавские дома,,"Проект дома №58-09. На превью показана каноническая визуализация, взятая непосредственно со страницы этого проекта на catalog-plans.ru. В карточке доступны планы этажей, фасады, размеры и характеристики. Параметры: 174,3 м²; 2 этажа; габариты 12×14 м; стены — газобетон; стиль — скандинавский. Откройте проект, проверьте планировку и сопоставьте габариты со своим участком до заказа.",https://catalog-plans.ru/catalog/58-09?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_house_cards_verified_batch_27&utm_content=pin_4988_58-09_estimate&utm_term=skandinavskie-doma,,"проект дома 58-09, проект №58-09, Скандинавские дома, готовый проект дома, планировка дома, фасады дома, дом с размерами, визуализация дома, дом 174,3 м², дом газобетон, дом скандинавский, catalog-plans.ru"
Проект дома №58-22C: перейти к расчёту строительства,https://raw.githubusercontent.com/nemchenik/test/catalog-plans-pinterest-cards/pinterest/generated_batch_27/58-22C.jpg,Проекты домов с визуализациями,,"Проект дома №58-22C. На превью показана каноническая визуализация, взятая непосредственно со страницы этого проекта на catalog-plans.ru. В карточке доступны планы этажей, фасады, размеры и характеристики. Параметры: 206,23 м²; 2 этажа; габариты 11.56×16.26 м; стены — газобетон; стиль — скандинавский. Откройте проект, проверьте планировку и сопоставьте габариты со своим участком до заказа.",https://catalog-plans.ru/catalog/58-22C?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_house_cards_verified_batch_27&utm_content=pin_4989_58-22c_changes&utm_term=proekty-domov-s-vizualizaciyami,,"проект дома 58-22C, проект №58-22C, Проекты домов с визуализациями, готовый проект дома, планировка дома, фасады дома, дом с размерами, визуализация дома, дом 206,23 м², дом газобетон, дом скандинавский, catalog-plans.ru"
Проект дома №58-22RL: открыть планировку и размеры,https://raw.githubusercontent.com/nemchenik/test/catalog-plans-pinterest-cards/pinterest/generated_batch_27/58-22RL.jpg,Дома 200–300 м²,,"Проект дома №58-22RL. На превью показана каноническая визуализация, взятая непосредственно со страницы этого проекта на catalog-plans.ru. В карточке доступны планы этажей, фасады, размеры и характеристики. Параметры: 238,26 м²; 2 этажа; габариты 14.16×11.56 м; стены — монолитный каркас; стиль — скандинавский. Откройте проект, проверьте планировку и сопоставьте габариты со своим участком до заказа.",https://catalog-plans.ru/catalog/58-22RL?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_house_cards_verified_batch_27&utm_content=pin_4990_58-22rl_plans&utm_term=doma-200-300-m,,"проект дома 58-22RL, проект №58-22RL, Дома 200–300 м², готовый проект дома, планировка дома, фасады дома, дом с размерами, визуализация дома, дом 238,26 м², дом монолитный каркас, дом скандинавский, catalog-plans.ru"
"Проект дома №58-52ABAKL: фасады, планы и характеристики",https://raw.githubusercontent.com/nemchenik/test/catalog-plans-pinterest-cards/pinterest/generated_batch_27/58-52ABAKL.jpg,Проекты домов с визуализациями,,"Проект дома №58-52ABAKL. На превью показана каноническая визуализация, взятая непосредственно со страницы этого проекта на catalog-plans.ru. В карточке доступны планы этажей, фасады, размеры и характеристики. Параметры: 177,35 м²; 2 этажа; габариты 11.28×11.28 м; стены — кирпич; стиль — современный. Откройте проект, проверьте планировку и сопоставьте габариты со своим участком до заказа.",https://catalog-plans.ru/catalog/58-52ABAKL?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_house_cards_verified_batch_27&utm_content=pin_4991_58-52abakl_compare&utm_term=proekty-domov-s-vizualizaciyami,,"проект дома 58-52ABAKL, проект №58-52ABAKL, Проекты домов с визуализациями, готовый проект дома, планировка дома, фасады дома, дом с размерами, визуализация дома, дом 177,35 м², дом кирпич, дом современный, catalog-plans.ru"
Проект дома №58-53BM: проверить габариты для участка,https://raw.githubusercontent.com/nemchenik/test/catalog-plans-pinterest-cards/pinterest/generated_batch_27/58-53BM.jpg,Каркасные дома,,"Проект дома №58-53BM. На превью показана каноническая визуализация, взятая непосредственно со страницы этого проекта на catalog-plans.ru. В карточке доступны планы этажей, фасады, размеры и характеристики. Параметры: 169,66 м²; 3 этажа; габариты 11.53×11.955 м; стены — монолитный каркас; стиль — средневековый. Откройте проект, проверьте планировку и сопоставьте габариты со своим участком до заказа.",https://catalog-plans.ru/catalog/58-53BM?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_house_cards_verified_batch_27&utm_content=pin_4992_58-53bm_site&utm_term=karkasnye-doma,,"проект дома 58-53BM, проект №58-53BM, Каркасные дома, готовый проект дома, планировка дома, фасады дома, дом с размерами, визуализация дома, дом 169,66 м², дом монолитный каркас, дом средневековый, catalog-plans.ru"
Проект дома №58-66FAEL: посмотреть все ракурсы и этажи,https://raw.githubusercontent.com/nemchenik/test/catalog-plans-pinterest-cards/pinterest/generated_batch_27/58-66FAEL.jpg,Готовые проекты домов,,"Проект дома №58-66FAEL. На превью показана каноническая визуализация, взятая непосредственно со страницы этого проекта на catalog-plans.ru. В карточке доступны планы этажей, фасады, размеры и характеристики. Параметры: 178,91 м²; 2 этажа; габариты 10×13 м; стены — газобетон; стиль — английский. Откройте проект, проверьте планировку и сопоставьте габариты со своим участком до заказа.",https://catalog-plans.ru/catalog/58-66FAEL?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_house_cards_verified_batch_27&utm_content=pin_4993_58-66fael_facades&utm_term=gotovye-proekty-domov,,"проект дома 58-66FAEL, проект №58-66FAEL, Готовые проекты домов, готовый проект дома, планировка дома, фасады дома, дом с размерами, визуализация дома, дом 178,91 м², дом газобетон, дом английский, catalog-plans.ru"
Проект дома №58-66HAK1L: сравнить перед выбором,https://raw.githubusercontent.com/nemchenik/test/catalog-plans-pinterest-cards/pinterest/generated_batch_27/58-66HAK1L.jpg,Проекты домов с визуализациями,,"Проект дома №58-66HAK1L. На превью показана каноническая визуализация, взятая непосредственно со страницы этого проекта на catalog-plans.ru. В карточке доступны планы этажей, фасады, размеры и характеристики. Параметры: 232,6 м²; 3 этажа; габариты 12×12.76 м; стены — газобетон; стиль — английский. Откройте проект, проверьте планировку и сопоставьте габариты со своим участком до заказа.",https://catalog-plans.ru/catalog/58-66HAK1L?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_house_cards_verified_batch_27&utm_content=pin_4994_58-66hak1l_estimate&utm_term=proekty-domov-s-vizualizaciyami,,"проект дома 58-66HAK1L, проект №58-66HAK1L, Проекты домов с визуализациями, готовый проект дома, планировка дома, фасады дома, дом с размерами, визуализация дома, дом 232,6 м², дом газобетон, дом английский, catalog-plans.ru"
Проект дома №58-70: перейти к расчёту строительства,https://raw.githubusercontent.com/nemchenik/test/catalog-plans-pinterest-cards/pinterest/generated_batch_27/58-70.jpg,Готовые проекты домов,,"Проект дома №58-70. На превью показана каноническая визуализация, взятая непосредственно со страницы этого проекта на catalog-plans.ru. В карточке доступны планы этажей, фасады, размеры и характеристики. Параметры: 116 м²; 1 этаж; габариты 11.9×13.9 м; стены — газобетон; стиль — шале. Откройте проект, проверьте планировку и сопоставьте габариты со своим участком до заказа.",https://catalog-plans.ru/catalog/58-70?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_house_cards_verified_batch_27&utm_content=pin_4995_58-70_changes&utm_term=gotovye-proekty-domov,,"проект дома 58-70, проект №58-70, Готовые проекты домов, готовый проект дома, планировка дома, фасады дома, дом с размерами, визуализация дома, дом 116 м², дом газобетон, дом шале, catalog-plans.ru"
Проект дома №58-70A: открыть планировку и размеры,https://raw.githubusercontent.com/nemchenik/test/catalog-plans-pinterest-cards/pinterest/generated_batch_27/58-70A.jpg,Фасады домов,,"Проект дома №58-70A. На превью показана каноническая визуализация, взятая непосредственно со страницы этого проекта на catalog-plans.ru. В карточке доступны планы этажей, фасады, размеры и характеристики. Параметры: 117,79 м²; 1 этаж; габариты 11.8×13.8 м; стены — керамзитобетон; стиль — шале. Откройте проект, проверьте планировку и сопоставьте габариты со своим участком до заказа.",https://catalog-plans.ru/catalog/58-70A?utm_source=pinterest&utm_medium=organic&utm_campaign=generated_house_cards_verified_batch_27&utm_content=pin_4996_58-70a_plans&utm_term=fasady-domov,,"проект дома 58-70A, проект №58-70A, Фасады домов, готовый проект дома, планировка дома, фасады дома, дом с размерами, визуализация дома, дом 117,79 м², дом керамзитобетон, дом шале, catalog-plans.ru"
